ts,free_gpus,load1,gpu0_mib,gpu1_mib,gpu2_mib,gpu3_mib
2026-07-29T12:01:12,1,6.30, 0, 19535, 17657, 31073
2026-07-29T12:02:12,1,5.96, 0, 21395, 17657, 31073
2026-07-29T12:03:12,2,6.67, 0, 6091, 17657, 31073
2026-07-29T12:04:12,1,6.16, 0, 20975, 17657, 31073
2026-07-29T12:05:12,1,5.73, 0, 20695, 17657, 31073
2026-07-29T12:06:12,2,6.59, 0, 11573, 17657, 31073
2026-07-29T12:07:12,1,5.59, 0, 19735, 17657, 31073
2026-07-29T12:08:12,1,5.95, 0, 21195, 17657, 31073
2026-07-29T12:09:12,1,6.26, 0, 13855, 17657, 31073
2026-07-29T12:10:13,1,6.25, 0, 20675, 17657, 31073
2026-07-29T12:11:13,1,6.72, 0, 21195, 17657, 31073
2026-07-29T12:12:13,1,7.17, 0, 20875, 17657, 31073
2026-07-29T12:13:13,1,5.90, 0, 19595, 17657, 31073
2026-07-29T12:14:13,1,5.60, 0, 21075, 17657, 31073
2026-07-29T12:15:13,1,5.15, 0, 11573, 17657, 31073
2026-07-29T12:16:13,1,5.04, 0, 20735, 17657, 31073
2026-07-29T12:17:13,2,4.99, 0, 6151, 17657, 31073
2026-07-29T12:18:13,1,6.03, 0, 21335, 17657, 31073
2026-07-29T12:19:14,1,6.12, 0, 20915, 17657, 31073
2026-07-29T12:20:14,1,5.44, 0, 21015, 17657, 31073
2026-07-29T12:21:14,1,5.99, 0, 14155, 17657, 31073
2026-07-29T12:22:14,1,6.93, 0, 11573, 17657, 31073
2026-07-29T12:23:14,1,5.30, 0, 12455, 17657, 31073
2026-07-29T12:24:14,1,5.57, 0, 21195, 17657, 31073
2026-07-29T12:25:14,1,5.47, 0, 17315, 17657, 31073
2026-07-29T12:26:15,1,4.88, 0, 21015, 17657, 31073
2026-07-29T12:27:15,1,5.51, 0, 14055, 17657, 31073
2026-07-29T12:28:15,1,6.56, 0, 20675, 17657, 31073
2026-07-29T12:29:15,1,5.87, 0, 21015, 17657, 31073
2026-07-29T12:30:15,2,5.59, 0, 13755, 17657, 0
2026-07-29T12:31:15,2,3.93, 0, 20675, 17657, 0
2026-07-29T12:32:15,2,3.11, 0, 12555, 17657, 0
2026-07-29T12:33:15,2,2.71, 0, 21055, 17657, 0
2026-07-29T12:34:15,2,2.75, 0, 20775, 17657, 0
2026-07-29T12:35:15,2,3.01, 0, 19815, 17657, 0
2026-07-29T12:36:16,2,4.07, 0, 18535, 17657, 0
2026-07-29T12:37:16,2,4.32, 0, 20695, 17657, 0
2026-07-29T12:38:16,2,4.21, 0, 20875, 17657, 0
2026-07-29T12:39:16,2,3.19, 0, 12575, 17657, 0
2026-07-29T12:40:16,2,2.52, 0, 21195, 17657, 0
2026-07-29T12:41:16,2,3.18, 0, 12075, 17657, 0
2026-07-29T12:42:16,3,3.69, 0, 6975, 17657, 0
2026-07-29T12:43:16,2,3.49, 0, 20935, 17657, 0
2026-07-29T12:44:16,2,3.90, 0, 20795, 17657, 0
2026-07-29T12:45:16,2,3.44, 0, 19655, 17657, 0
2026-07-29T12:46:17,3,2.57, 0, 0, 17657, 0
2026-07-29T12:47:17,3,1.78, 0, 0, 17657, 0
2026-07-29T12:48:17,3,1.41, 0, 0, 17657, 0
2026-07-29T12:49:17,3,1.15, 0, 0, 17657, 0
2026-07-29T12:50:17,3,1.05, 0, 0, 17657, 0
2026-07-29T12:51:17,3,1.06, 0, 0, 17657, 0
2026-07-29T12:52:17,3,1.50, 0, 0, 17657, 0
2026-07-29T12:53:17,3,1.30, 0, 0, 17657, 0
2026-07-29T12:54:17,3,1.14, 0, 0, 17657, 0
2026-07-29T12:55:17,3,1.19, 0, 0, 17657, 0
2026-07-29T12:56:18,3,1.07, 0, 0, 17657, 0
2026-07-29T12:57:18,3,1.07, 0, 0, 17657, 0
2026-07-29T12:58:18,3,1.26, 0, 0, 17657, 0
2026-07-29T12:59:18,3,1.20, 0, 0, 17657, 0
2026-07-29T13:00:18,3,1.12, 0, 0, 17657, 0
2026-07-29T13:01:18,3,1.24, 0, 0, 17657, 0
2026-07-29T13:02:18,3,1.21, 0, 0, 17657, 0
2026-07-29T13:03:18,3,1.07, 0, 0, 17657, 0
2026-07-29T13:04:18,3,1.30, 0, 0, 17657, 0
2026-07-29T13:05:18,3,1.18, 0, 0, 17657, 0
2026-07-29T13:06:19,3,1.10, 0, 0, 17657, 0
2026-07-29T13:07:19,3,1.10, 0, 0, 17657, 0
2026-07-29T13:08:19,3,1.07, 0, 0, 17657, 0
2026-07-29T13:09:19,3,1.52, 0, 0, 17657, 0
2026-07-29T13:10:19,4,0.79, 0, 0, 0, 0
2026-07-29T13:11:19,4,0.29, 0, 0, 0, 0
2026-07-29T13:12:19,4,0.10, 0, 0, 0, 0
